areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2021-10-24,644,1158300
region,London,E12000007,2021-10-23,2445,1157656
region,London,E12000007,2021-10-22,3297,1155211
region,London,E12000007,2021-10-21,3787,1151914
region,London,E12000007,2021-10-20,4220,1148127
region,London,E12000007,2021-10-19,4304,1143907
region,London,E12000007,2021-10-18,4460,1139603
region,London,E12000007,2021-10-17,3291,1135143
region,London,E12000007,2021-10-16,2739,1131852
region,London,E12000007,2021-10-15,3228,1129113
region,London,E12000007,2021-10-14,3384,1125885
region,London,E12000007,2021-10-13,3509,1122501
region,London,E12000007,2021-10-12,3352,1118992
region,London,E12000007,2021-10-11,3830,1115640
region,London,E12000007,2021-10-10,2730,1111810
region,London,E12000007,2021-10-09,2433,1109080
region,London,E12000007,2021-10-08,2654,1106647
region,London,E12000007,2021-10-07,2904,1103993
region,London,E12000007,2021-10-06,2813,1101089
region,London,E12000007,2021-10-05,3046,1098276
region,London,E12000007,2021-10-04,3301,1095230
region,London,E12000007,2021-10-03,2526,1091929
region,London,E12000007,2021-10-02,2138,1089403
region,London,E12000007,2021-10-01,2191,1087265
region,London,E12000007,2021-09-30,2592,1085074
region,London,E12000007,2021-09-29,2778,1082482
region,London,E12000007,2021-09-28,2789,1079704
region,London,E12000007,2021-09-27,3439,1076915
region,London,E12000007,2021-09-26,2502,1073476
region,London,E12000007,2021-09-25,2226,1070974
region,London,E12000007,2021-09-24,2379,1068748
region,London,E12000007,2021-09-23,2724,1066369
region,London,E12000007,2021-09-22,2806,1063645
region,London,E12000007,2021-09-21,2907,1060839
region,London,E12000007,2021-09-20,3114,1057932
region,London,E12000007,2021-09-19,2334,1054818
region,London,E12000007,2021-09-18,2107,1052484
region,London,E12000007,2021-09-17,2355,1050377
region,London,E12000007,2021-09-16,2334,1048022
region,London,E12000007,2021-09-15,2424,1045688
region,London,E12000007,2021-09-14,2601,1043264
region,London,E12000007,2021-09-13,2784,1040663
region,London,E12000007,2021-09-12,2010,1037879
region,London,E12000007,2021-09-11,2169,1035869
region,London,E12000007,2021-09-10,2507,1033700
region,London,E12000007,2021-09-09,2743,1031193
region,London,E12000007,2021-09-08,3135,1028450
region,London,E12000007,2021-09-07,3385,1025315
region,London,E12000007,2021-09-06,3780,1021930
region,London,E12000007,2021-09-05,2652,1018150
region,London,E12000007,2021-09-04,2716,1015498
region,London,E12000007,2021-09-03,3452,1012782
region,London,E12000007,2021-09-02,3719,1009330
region,London,E12000007,2021-09-01,3606,1005611
region,London,E12000007,2021-08-31,3712,1002005
region,London,E12000007,2021-08-30,2815,998293
region,London,E12000007,2021-08-29,2246,995478
region,London,E12000007,2021-08-28,2575,993232
region,London,E12000007,2021-08-27,3064,990657
region,London,E12000007,2021-08-26,3175,987593
region,London,E12000007,2021-08-25,3425,984418
region,London,E12000007,2021-08-24,3416,980993
region,London,E12000007,2021-08-23,3569,977577
region,London,E12000007,2021-08-22,2646,974008
region,London,E12000007,2021-08-21,2652,971362
region,London,E12000007,2021-08-20,3083,968710
region,London,E12000007,2021-08-19,3537,965627
region,London,E12000007,2021-08-18,3698,962090
region,London,E12000007,2021-08-17,3724,958392
region,London,E12000007,2021-08-16,3841,954668
region,London,E12000007,2021-08-15,2703,950827
region,London,E12000007,2021-08-14,2897,948124
region,London,E12000007,2021-08-13,3677,945227
region,London,E12000007,2021-08-12,3928,941550
region,London,E12000007,2021-08-11,4271,937622
region,London,E12000007,2021-08-10,3821,933351
region,London,E12000007,2021-08-09,3813,929530
region,London,E12000007,2021-08-08,2841,925717
region,London,E12000007,2021-08-07,2940,922876
region,London,E12000007,2021-08-06,3623,919936
region,London,E12000007,2021-08-05,4178,916313
region,London,E12000007,2021-08-04,4193,912135
region,London,E12000007,2021-08-03,3939,907942
region,London,E12000007,2021-08-02,3903,904003
region,London,E12000007,2021-08-01,2624,900100
region,London,E12000007,2021-07-31,2601,897476
region,London,E12000007,2021-07-30,3270,894875
region,London,E12000007,2021-07-29,3806,891605
region,London,E12000007,2021-07-28,3889,887799
region,London,E12000007,2021-07-27,3815,883910
region,London,E12000007,2021-07-26,3975,880095
region,London,E12000007,2021-07-25,2824,876120
region,London,E12000007,2021-07-24,3058,873296
region,London,E12000007,2021-07-23,3858,870238
region,London,E12000007,2021-07-22,4232,866380
region,London,E12000007,2021-07-21,4687,862148
region,London,E12000007,2021-07-20,5006,857461
region,London,E12000007,2021-07-19,6006,852455
region,London,E12000007,2021-07-18,4416,846449
region,London,E12000007,2021-07-17,4975,842033
region,London,E12000007,2021-07-16,7013,837058
region,London,E12000007,2021-07-15,7642,830045
region,London,E12000007,2021-07-14,6398,822403
region,London,E12000007,2021-07-13,5200,816005
region,London,E12000007,2021-07-12,4872,810805
region,London,E12000007,2021-07-11,3223,805933
region,London,E12000007,2021-07-10,3188,802710
region,London,E12000007,2021-07-09,3588,799522
region,London,E12000007,2021-07-08,3586,795934
region,London,E12000007,2021-07-07,4413,792348
region,London,E12000007,2021-07-06,3936,787935
region,London,E12000007,2021-07-05,3761,783999
region,London,E12000007,2021-07-04,2568,780238
region,London,E12000007,2021-07-03,2625,777670
region,London,E12000007,2021-07-02,2879,775045
region,London,E12000007,2021-07-01,3012,772166
region,London,E12000007,2021-06-30,3010,769154
region,London,E12000007,2021-06-29,2924,766144
region,London,E12000007,2021-06-28,2809,763220
region,London,E12000007,2021-06-27,1851,760411
region,London,E12000007,2021-06-26,1684,758560
region,London,E12000007,2021-06-25,2012,756876
region,London,E12000007,2021-06-24,1908,754864
region,London,E12000007,2021-06-23,1925,752956
region,London,E12000007,2021-06-22,1757,751031
region,London,E12000007,2021-06-21,1627,749274
region,London,E12000007,2021-06-20,951,747647
region,London,E12000007,2021-06-19,902,746696
region,London,E12000007,2021-06-18,994,745794
region,London,E12000007,2021-06-17,1261,744800
region,London,E12000007,2021-06-16,1139,743539
region,London,E12000007,2021-06-15,1256,742400
region,London,E12000007,2021-06-14,1174,741144
region,London,E12000007,2021-06-13,750,739970
region,London,E12000007,2021-06-12,752,739220
region,London,E12000007,2021-06-11,916,738468
region,London,E12000007,2021-06-10,975,737552
region,London,E12000007,2021-06-09,1046,736577
region,London,E12000007,2021-06-08,1061,735531
region,London,E12000007,2021-06-07,985,734470
region,London,E12000007,2021-06-06,650,733485
region,London,E12000007,2021-06-05,584,732835
region,London,E12000007,2021-06-04,679,732251
region,London,E12000007,2021-06-03,769,731572
region,London,E12000007,2021-06-02,794,730803
region,London,E12000007,2021-06-01,683,730009
region,London,E12000007,2021-05-31,475,729326
region,London,E12000007,2021-05-30,387,728851
region,London,E12000007,2021-05-29,375,728464
region,London,E12000007,2021-05-28,412,728089
region,London,E12000007,2021-05-27,499,727677
region,London,E12000007,2021-05-26,473,727178
region,London,E12000007,2021-05-25,402,726705
region,London,E12000007,2021-05-24,358,726303
region,London,E12000007,2021-05-23,268,725945
region,London,E12000007,2021-05-22,234,725677
region,London,E12000007,2021-05-21,263,725443
region,London,E12000007,2021-05-20,315,725180
region,London,E12000007,2021-05-19,339,724865
region,London,E12000007,2021-05-18,314,724526
region,London,E12000007,2021-05-17,324,724212
region,London,E12000007,2021-05-16,205,723888
region,London,E12000007,2021-05-15,186,723683
region,London,E12000007,2021-05-14,237,723497
region,London,E12000007,2021-05-13,249,723260
region,London,E12000007,2021-05-12,219,723011
region,London,E12000007,2021-05-11,279,722792
region,London,E12000007,2021-05-10,339,722513
region,London,E12000007,2021-05-09,262,722174
region,London,E12000007,2021-05-08,175,721912
region,London,E12000007,2021-05-07,225,721737
region,London,E12000007,2021-05-06,280,721512
region,London,E12000007,2021-05-05,264,721232
region,London,E12000007,2021-05-04,293,720968
region,London,E12000007,2021-05-03,234,720675
region,London,E12000007,2021-05-02,173,720441
region,London,E12000007,2021-05-01,167,720268
region,London,E12000007,2021-04-30,224,720101
region,London,E12000007,2021-04-29,196,719877
region,London,E12000007,2021-04-28,287,719681
region,London,E12000007,2021-04-27,271,719394
region,London,E12000007,2021-04-26,294,719123
region,London,E12000007,2021-04-25,263,718829
region,London,E12000007,2021-04-24,221,718566
region,London,E12000007,2021-04-23,231,718345
region,London,E12000007,2021-04-22,301,718114
region,London,E12000007,2021-04-21,343,717813
region,London,E12000007,2021-04-20,340,717470
region,London,E12000007,2021-04-19,361,717130
region,London,E12000007,2021-04-18,359,716769
region,London,E12000007,2021-04-17,219,716410
region,London,E12000007,2021-04-16,304,716191
region,London,E12000007,2021-04-15,296,715887
region,London,E12000007,2021-04-14,271,715591
region,London,E12000007,2021-04-13,276,715320
region,London,E12000007,2021-04-12,326,715044
region,London,E12000007,2021-04-11,292,714718
region,London,E12000007,2021-04-10,274,714426
region,London,E12000007,2021-04-09,351,714152
region,London,E12000007,2021-04-08,311,713801
region,London,E12000007,2021-04-07,337,713490
region,London,E12000007,2021-04-06,331,713153
region,London,E12000007,2021-04-05,243,712822
region,London,E12000007,2021-04-04,212,712579
region,London,E12000007,2021-04-03,237,712367
region,London,E12000007,2021-04-02,250,712130
region,London,E12000007,2021-04-01,335,711880
region,London,E12000007,2021-03-31,302,711545
region,London,E12000007,2021-03-30,357,711243
region,London,E12000007,2021-03-29,399,710886
region,London,E12000007,2021-03-28,470,710487
region,London,E12000007,2021-03-27,300,710017
region,London,E12000007,2021-03-26,425,709717
region,London,E12000007,2021-03-25,454,709292
region,London,E12000007,2021-03-24,614,708838
region,London,E12000007,2021-03-23,480,708224
region,London,E12000007,2021-03-22,539,707744
region,London,E12000007,2021-03-21,459,707205
region,London,E12000007,2021-03-20,377,706746
region,London,E12000007,2021-03-19,443,706369
region,London,E12000007,2021-03-18,478,705926
region,London,E12000007,2021-03-17,455,705448
region,London,E12000007,2021-03-16,505,704993
region,London,E12000007,2021-03-15,598,704488
region,London,E12000007,2021-03-14,362,703890
region,London,E12000007,2021-03-13,363,703528
region,London,E12000007,2021-03-12,514,703165
region,London,E12000007,2021-03-11,454,702651
region,London,E12000007,2021-03-10,531,702197
region,London,E12000007,2021-03-09,590,701666
region,London,E12000007,2021-03-08,563,701076
region,London,E12000007,2021-03-07,408,700513
region,London,E12000007,2021-03-06,402,700105
region,London,E12000007,2021-03-05,500,699703
region,London,E12000007,2021-03-04,510,699203
region,London,E12000007,2021-03-03,580,698693
region,London,E12000007,2021-03-02,657,698113
region,London,E12000007,2021-03-01,549,697456
region,London,E12000007,2021-02-28,474,696907
region,London,E12000007,2021-02-27,499,696433
region,London,E12000007,2021-02-26,621,695934
region,London,E12000007,2021-02-25,650,695313
region,London,E12000007,2021-02-24,734,694663
region,London,E12000007,2021-02-23,916,693929
region,London,E12000007,2021-02-22,1021,693013
region,London,E12000007,2021-02-21,738,691992
region,London,E12000007,2021-02-20,798,691254
region,London,E12000007,2021-02-19,1027,690456
region,London,E12000007,2021-02-18,1102,689429
region,London,E12000007,2021-02-17,1085,688327
region,London,E12000007,2021-02-16,1196,687242
region,London,E12000007,2021-02-15,1380,686046
region,London,E12000007,2021-02-14,881,684666
region,London,E12000007,2021-02-13,867,683785
region,London,E12000007,2021-02-12,1276,682918
region,London,E12000007,2021-02-11,1440,681642
region,London,E12000007,2021-02-10,1530,680202
region,London,E12000007,2021-02-09,1660,678672
region,London,E12000007,2021-02-08,1803,677012
region,London,E12000007,2021-02-07,1345,675209
region,London,E12000007,2021-02-06,1542,673864
region,London,E12000007,2021-02-05,2114,672322
region,London,E12000007,2021-02-04,2463,670208
region,London,E12000007,2021-02-03,2695,667745
region,London,E12000007,2021-02-02,2942,665050
region,London,E12000007,2021-02-01,3290,662108
region,London,E12000007,2021-01-31,2228,658818
region,London,E12000007,2021-01-30,2621,656590
region,London,E12000007,2021-01-29,3374,653969
region,London,E12000007,2021-01-28,3855,650595
region,London,E12000007,2021-01-27,4200,646740
region,London,E12000007,2021-01-26,4139,642540
region,London,E12000007,2021-01-25,4956,638401
region,London,E12000007,2021-01-24,3114,633445
region,London,E12000007,2021-01-23,4143,630331
region,London,E12000007,2021-01-22,5563,626188
region,London,E12000007,2021-01-21,5784,620625
region,London,E12000007,2021-01-20,6237,614841
region,London,E12000007,2021-01-19,6993,608604
region,London,E12000007,2021-01-18,8292,601611
region,London,E12000007,2021-01-17,5381,593319
region,London,E12000007,2021-01-16,6160,587938
region,London,E12000007,2021-01-15,8181,581778
region,London,E12000007,2021-01-14,8912,573597
region,London,E12000007,2021-01-13,9308,564685
region,London,E12000007,2021-01-12,9820,555377
region,London,E12000007,2021-01-11,11535,545557
region,London,E12000007,2021-01-10,7462,534022
region,London,E12000007,2021-01-09,8727,526560
region,London,E12000007,2021-01-08,10514,517833
region,London,E12000007,2021-01-07,12054,507319
region,London,E12000007,2021-01-06,13535,495265
region,London,E12000007,2021-01-05,14528,481730
region,London,E12000007,2021-01-04,17217,467202
region,London,E12000007,2021-01-03,13106,449985
region,London,E12000007,2021-01-02,13623,436879
region,London,E12000007,2021-01-01,6737,423256
region,London,E12000007,2020-12-31,12391,416519
region,London,E12000007,2020-12-30,17298,404128
region,London,E12000007,2020-12-29,19865,386830
region,London,E12000007,2020-12-28,10667,366965
region,London,E12000007,2020-12-27,13123,356298
region,London,E12000007,2020-12-26,11861,343175
region,London,E12000007,2020-12-25,4322,331314
region,London,E12000007,2020-12-24,9406,326992
region,London,E12000007,2020-12-23,12312,317586
region,London,E12000007,2020-12-22,13318,305274
region,London,E12000007,2020-12-21,13220,291956
region,London,E12000007,2020-12-20,8879,278736
region,London,E12000007,2020-12-19,7143,269857
region,London,E12000007,2020-12-18,10772,262714
region,London,E12000007,2020-12-17,10135,251942
region,London,E12000007,2020-12-16,9960,241807
region,London,E12000007,2020-12-15,8812,231847
region,London,E12000007,2020-12-14,8312,223035
region,London,E12000007,2020-12-13,5491,214723
region,London,E12000007,2020-12-12,4655,209232
region,London,E12000007,2020-12-11,5466,204577
region,London,E12000007,2020-12-10,4989,199111
region,London,E12000007,2020-12-09,4403,194122
region,London,E12000007,2020-12-08,3694,189719
region,London,E12000007,2020-12-07,3705,186025
region,London,E12000007,2020-12-06,2420,182320
region,London,E12000007,2020-12-05,2238,179900
region,London,E12000007,2020-12-04,2910,177662
region,London,E12000007,2020-12-03,2450,174752
region,London,E12000007,2020-12-02,2793,172302
region,London,E12000007,2020-12-01,2455,169509
region,London,E12000007,2020-11-30,2685,167054
region,London,E12000007,2020-11-29,1650,164369
region,London,E12000007,2020-11-28,1638,162719
region,London,E12000007,2020-11-27,2192,161081
region,London,E12000007,2020-11-26,2063,158889
region,London,E12000007,2020-11-25,2235,156826
region,London,E12000007,2020-11-24,2150,154591
region,London,E12000007,2020-11-23,2384,152441
region,London,E12000007,2020-11-22,1479,150057
region,London,E12000007,2020-11-21,1477,148578
region,London,E12000007,2020-11-20,2106,147101
region,London,E12000007,2020-11-19,2179,144995
region,London,E12000007,2020-11-18,2452,142816
region,London,E12000007,2020-11-17,2555,140364
region,London,E12000007,2020-11-16,3072,137809
region,London,E12000007,2020-11-15,1793,134737
region,London,E12000007,2020-11-14,1919,132944
region,London,E12000007,2020-11-13,2692,131025
region,London,E12000007,2020-11-12,2835,128333
region,London,E12000007,2020-11-11,2906,125498
region,London,E12000007,2020-11-10,2721,122592
region,London,E12000007,2020-11-09,3074,119871
region,London,E12000007,2020-11-08,1755,116797
region,London,E12000007,2020-11-07,1648,115042
region,London,E12000007,2020-11-06,2114,113394
region,London,E12000007,2020-11-05,2089,111280
region,London,E12000007,2020-11-04,2046,109191
region,London,E12000007,2020-11-03,2126,107145
region,London,E12000007,2020-11-02,2913,105019
region,London,E12000007,2020-11-01,1203,102106
region,London,E12000007,2020-10-31,1385,100903
region,London,E12000007,2020-10-30,1869,99518
region,London,E12000007,2020-10-29,2009,97649
region,London,E12000007,2020-10-28,1969,95640
region,London,E12000007,2020-10-27,2085,93671
region,London,E12000007,2020-10-26,2526,91586
region,London,E12000007,2020-10-25,1291,89060
region,London,E12000007,2020-10-24,1435,87769
region,London,E12000007,2020-10-23,2004,86334
region,London,E12000007,2020-10-22,2170,84330
region,London,E12000007,2020-10-21,2348,82160
region,London,E12000007,2020-10-20,2319,79812
region,London,E12000007,2020-10-19,2337,77493
region,London,E12000007,2020-10-18,1297,75156
region,London,E12000007,2020-10-17,1107,73859
region,London,E12000007,2020-10-16,1656,72752
region,London,E12000007,2020-10-15,1720,71096
region,London,E12000007,2020-10-14,1623,69376
region,London,E12000007,2020-10-13,1430,67753
region,London,E12000007,2020-10-12,1576,66323
region,London,E12000007,2020-10-11,743,64747
region,London,E12000007,2020-10-10,877,64004
region,London,E12000007,2020-10-09,1351,63127
region,London,E12000007,2020-10-08,1487,61776
region,London,E12000007,2020-10-07,1419,60289
region,London,E12000007,2020-10-06,1178,58870
region,London,E12000007,2020-10-05,1296,57692
region,London,E12000007,2020-10-04,825,56396
region,London,E12000007,2020-10-03,792,55571
region,London,E12000007,2020-10-02,1039,54779
region,London,E12000007,2020-10-01,1077,53740
region,London,E12000007,2020-09-30,993,52663
region,London,E12000007,2020-09-29,705,51670
region,London,E12000007,2020-09-28,746,50965
region,London,E12000007,2020-09-27,529,50219
region,London,E12000007,2020-09-26,548,49690
region,London,E12000007,2020-09-25,603,49142
region,London,E12000007,2020-09-24,598,48539
region,London,E12000007,2020-09-23,657,47941
region,London,E12000007,2020-09-22,521,47284
region,London,E12000007,2020-09-21,427,46763
region,London,E12000007,2020-09-20,409,46336
region,London,E12000007,2020-09-19,338,45927
region,London,E12000007,2020-09-18,387,45589
region,London,E12000007,2020-09-17,323,45202
region,London,E12000007,2020-09-16,292,44879
region,London,E12000007,2020-09-15,269,44587
region,London,E12000007,2020-09-14,296,44318
region,London,E12000007,2020-09-13,114,44022
region,London,E12000007,2020-09-12,229,43908
region,London,E12000007,2020-09-11,333,43679
region,London,E12000007,2020-09-10,391,43346
region,London,E12000007,2020-09-09,345,42955
region,London,E12000007,2020-09-08,343,42610
region,London,E12000007,2020-09-07,463,42267
region,London,E12000007,2020-09-06,203,41804
region,London,E12000007,2020-09-05,272,41601
region,London,E12000007,2020-09-04,356,41329
region,London,E12000007,2020-09-03,347,40973
region,London,E12000007,2020-09-02,333,40626
region,London,E12000007,2020-09-01,314,40293
region,London,E12000007,2020-08-31,216,39979
region,London,E12000007,2020-08-30,133,39763
region,London,E12000007,2020-08-29,139,39630
region,London,E12000007,2020-08-28,220,39491
region,London,E12000007,2020-08-27,229,39271
region,London,E12000007,2020-08-26,165,39042
region,London,E12000007,2020-08-25,170,38877
region,London,E12000007,2020-08-24,195,38707
region,London,E12000007,2020-08-23,145,38512
region,London,E12000007,2020-08-22,119,38367
region,London,E12000007,2020-08-21,167,38248
region,London,E12000007,2020-08-20,204,38081
