areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
region,London,E12000007,2021-10-24,2362,6015925,2102,5439491
region,London,E12000007,2021-10-23,4484,6013563,5536,5437389
region,London,E12000007,2021-10-22,6324,6009079,4213,5431853
region,London,E12000007,2021-10-21,5310,6002755,3693,5427640
region,London,E12000007,2021-10-20,7519,5997445,4067,5423947
region,London,E12000007,2021-10-19,6342,5989926,4061,5419880
region,London,E12000007,2021-10-18,6369,5983584,4023,5415819
region,London,E12000007,2021-10-17,1391,5977215,2225,5411796
region,London,E12000007,2021-10-16,3758,5975824,6413,5409571
region,London,E12000007,2021-10-15,6977,5972066,4769,5403158
region,London,E12000007,2021-10-14,6945,5965089,4209,5398389
region,London,E12000007,2021-10-13,7891,5958144,4341,5394180
region,London,E12000007,2021-10-12,5211,5950253,3801,5389839
region,London,E12000007,2021-10-11,4702,5945042,4001,5386038
region,London,E12000007,2021-10-10,1406,5940340,2425,5382037
region,London,E12000007,2021-10-09,3458,5938934,5781,5379612
region,London,E12000007,2021-10-08,4828,5935476,4731,5373831
region,London,E12000007,2021-10-07,4206,5930648,3933,5369100
region,London,E12000007,2021-10-06,4231,5926442,4175,5365167
region,London,E12000007,2021-10-05,4637,5922211,4461,5360992
region,London,E12000007,2021-10-04,4472,5917574,4683,5356531
region,London,E12000007,2021-10-03,1684,5913102,2776,5351848
region,London,E12000007,2021-10-02,3722,5911418,6698,5349072
region,London,E12000007,2021-10-01,4303,5907696,5319,5342374
region,London,E12000007,2021-09-30,3831,5903393,5216,5337055
region,London,E12000007,2021-09-29,3971,5899562,5360,5331839
region,London,E12000007,2021-09-28,3670,5895591,5277,5326479
region,London,E12000007,2021-09-27,3176,5891921,5993,5321202
region,London,E12000007,2021-09-26,1511,5888745,3254,5315209
region,London,E12000007,2021-09-25,3735,5887234,8874,5311955
region,London,E12000007,2021-09-24,3666,5883499,6770,5303081
region,London,E12000007,2021-09-23,4082,5879833,7305,5296311
region,London,E12000007,2021-09-22,3538,5875751,7250,5289006
region,London,E12000007,2021-09-21,3518,5872213,7081,5281756
region,London,E12000007,2021-09-20,3457,5868695,8535,5274675
region,London,E12000007,2021-09-19,1845,5865238,4610,5266140
region,London,E12000007,2021-09-18,4227,5863393,11250,5261530
region,London,E12000007,2021-09-17,3479,5859166,9874,5250280
region,London,E12000007,2021-09-16,3198,5855687,9374,5240406
region,London,E12000007,2021-09-15,3256,5852489,9281,5231032
region,London,E12000007,2021-09-14,3112,5849233,9373,5221751
region,London,E12000007,2021-09-13,3177,5846121,10427,5212378
region,London,E12000007,2021-09-12,1818,5842944,5965,5201951
region,London,E12000007,2021-09-11,4209,5841126,14157,5195986
region,London,E12000007,2021-09-10,3507,5836917,12295,5181829
region,London,E12000007,2021-09-09,3486,5833410,12954,5169534
region,London,E12000007,2021-09-08,3268,5829924,12070,5156580
region,London,E12000007,2021-09-07,3278,5826656,12783,5144510
region,London,E12000007,2021-09-06,3502,5823378,14433,5131727
region,London,E12000007,2021-09-05,2380,5819876,9662,5117294
region,London,E12000007,2021-09-04,5357,5817496,19247,5107632
region,London,E12000007,2021-09-03,4789,5812139,16460,5088385
region,London,E12000007,2021-09-02,5161,5807350,17001,5071925
region,London,E12000007,2021-09-01,5361,5802189,16676,5054924
region,London,E12000007,2021-08-31,5803,5796828,19155,5038248
region,London,E12000007,2021-08-30,2661,5791025,10520,5019093
region,London,E12000007,2021-08-29,3183,5788364,11612,5008573
region,London,E12000007,2021-08-28,5769,5785181,20526,4996961
