date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,5.3,1.7,6.8,0,,127.2,7,20.4,1029.3,
2020-01-02,8.7,6.2,10.8,0,,188.6,18.4,40.8,1020.4,
2020-01-03,8.6,4.8,10.7,1.5,,269.8,17.9,38.9,1021.4,
2020-01-04,6.4,2.2,8.8,0.5,,248.8,14.8,31.5,1034.2,
2020-01-05,7.8,6.5,9,0,,224.6,16.1,29.6,1033.2,
2020-01-06,7.7,6.7,8.7,0,,207.3,19.1,38.9,1022.2,
2020-01-07,9.3,4.1,12.8,0.8,,208.4,19.4,42.6,1021.8,
2020-01-08,11.4,9.6,12.3,0.3,,224.2,16.5,37,1020.6,
2020-01-09,11.1,6.4,13.1,1,,207.6,23.5,46.3,1006.9,
2020-01-10,6.3,5.1,8.5,4.3,,274.7,13.6,27.8,1023.1,
2020-01-11,9.3,4.9,10.8,0,,203.8,27.9,55.5,1024.2,
2020-01-12,9.4,6,11.2,0.5,,222.7,25.3,51.8,1018.2,
2020-01-13,8.2,4.5,11.2,0.3,,186.5,22.8,55.5,1008,
2020-01-14,10.2,7.5,13.3,6.1,,197.9,30.3,66.7,996,
2020-01-15,8.4,6.5,12.6,9.9,,218,22,53.7,1006.7,
2020-01-16,9.2,5.2,12.3,3,,168.8,20.1,48.2,1014.4,
2020-01-17,7.6,2.5,10.6,4.6,,220.7,19.9,46.3,1012.5,
2020-01-18,3.9,0.9,7.8,1,,284,9.2,24.1,1027.9,
2020-01-19,3.2,-0.7,7.5,0,,308.3,4.1,16.7,1044.3,
2020-01-20,3.1,-0.3,8.2,0.3,,269.8,5.3,14.8,1047.7,
2020-01-21,2.3,-2.1,7.9,0,,270.3,6.1,14.8,1041.9,
2020-01-22,5.6,0.6,8.1,0,,8.6,4.4,22.2,1037.6,
2020-01-23,7.4,6.7,8,0.3,,58.5,6.2,20.4,1031.5,
2020-01-24,6.4,5.9,6.9,0,,274.2,5.9,14.8,1023.3,
2020-01-25,6.1,5.6,6.7,0,,160,11,24.1,1018.5,
2020-01-26,8.3,5.7,10.5,0.3,,180.7,16.5,37,1009.6,
2020-01-27,7.4,5.5,9.6,2.8,,203,15.4,29.6,999.8,
2020-01-28,4.7,2.3,7.4,8.9,,246.6,25.1,50,996,
2020-01-29,6.1,2.3,9.4,0,,233.4,21.4,40.8,1009,
2020-01-30,10.1,6.9,13,0,,212.4,19,44.5,1004.4,
2020-01-31,10.7,8.6,12.4,0.3,,221.9,24.5,48.2,1006.1,
2020-02-01,10.1,7.2,12.4,1.5,,237.5,27.3,61.1,1004.9,
2020-02-02,10.4,6.3,13.3,7.9,,220.7,22.5,53.7,1007.5,
2020-02-03,9.2,5.6,11.7,0.5,,257.7,24.7,46.3,1012.6,
2020-02-04,6.9,3.9,9.3,0.3,,287,20.1,46.3,1022.5,
2020-02-05,4.9,1.9,9.3,0,,339.1,2.5,16.7,1036.6,
2020-02-06,3.6,-0.3,8.8,0,,23.8,2.8,18.5,1031.6,
2020-02-07,5.5,0.7,9.6,0,,118.7,14,35.2,1019.4,
2020-02-08,9.1,7.7,10.7,1.5,,206.9,19.4,46.3,1014.6,
2020-02-09,10.5,7.5,13.2,0,,216.5,46.8,94,994.4,
2020-02-10,7,3.6,9.6,12.7,,248,39.2,96,997.4,
2020-02-11,5.4,3.4,8.4,3.6,,251.6,32.9,68.5,1007.9,
2020-02-12,5.4,2.2,9,0,,232.6,23.3,46.3,1014.2,
2020-02-13,7.3,5.6,9.8,10.4,,227.3,20.4,42.6,998.8,
2020-02-14,7.4,1.8,11.8,1.5,,206,17.9,44.5,1016.5,
2020-02-15,11.6,9.8,12.8,3.3,,196.7,33,72.2,1006.3,
2020-02-16,10,5.9,13.1,8.1,,220.2,35.7,74.1,996,
2020-02-17,7.9,5.3,11.4,12.7,,236.3,32.1,55.5,1009.6,
2020-02-18,6.9,4.3,11.4,0.3,,248.9,19.9,55.5,1018.1,
2020-02-19,6.4,2.6,9.2,2.3,,233.9,18,38.9,1018.8,
2020-02-20,7.8,4.1,10.1,1.3,,231.5,27.5,61.1,1011.9,
2020-02-21,7.8,3.7,10.7,4.8,,230.4,30,55.5,1022.4,
2020-02-22,11,9.2,14.3,0,,240.8,35.3,63,1018.3,
2020-02-23,11,7.9,14.1,0.5,,258.8,27.1,63,1017,
2020-02-24,9.5,5.7,12.2,3.3,,212,26,57.4,1010.5,
2020-02-25,5.9,2.8,8.4,2.3,,247.1,24.8,46.3,1000.4,
2020-02-26,4.6,1,8.8,1,,265.5,20.3,42.6,1003.9,
2020-02-27,4.5,1.9,8.1,3.8,,303.7,15.9,46.3,1003.8,
2020-02-28,6.4,0,11.7,5.1,,187.4,22,50,1005.6,
2020-02-29,7.5,4.2,11.2,5.6,,221.9,32,61.1,986.4,
2020-03-01,6.6,4.4,10.1,7.1,,223.5,27.8,51.8,988.8,
2020-03-02,5.7,3.8,10.1,5.1,,293.1,14.1,33.3,990.4,
2020-03-03,5.1,1.4,10.1,0.3,,247.3,14.8,37,1002.5,
2020-03-04,4.7,-0.1,8,0.8,,127.1,9.2,24.1,1007.4,
2020-03-05,5.7,5,6.1,5.6,,23.1,16.4,38.9,995.1,
2020-03-06,5.7,2.4,9.8,10.2,,300.4,9.8,25.9,1005.3,
2020-03-07,7.8,1.8,12.7,0,,219.1,18.8,48.2,1015,
2020-03-08,9.9,6.1,13.2,0.5,,225.4,27.6,57.4,1006.1,
2020-03-09,7.7,4.5,10.7,2.3,,235.6,21.8,44.5,1011.1,
2020-03-10,12.7,6.3,15,7.6,,246.2,30.6,57.4,1005,
2020-03-11,11.1,7.9,15.4,0,,232.1,24.8,51.8,1008.5,
2020-03-12,7.6,4.4,10.9,1.8,,247.2,33,59.3,1010.1,
2020-03-13,8.3,5.4,12.8,1.5,,246.8,19.5,42.6,1017.4,
2020-03-14,9.4,6.5,12.7,2.8,,185.5,19.8,37,1013.7,
2020-03-15,9.4,6.7,11.8,0.8,,221.1,19.5,44.5,1008.6,
2020-03-16,7.6,3.5,12.6,2.3,,274.1,10.3,29.6,1021.1,
2020-03-17,9.1,4.4,13.1,0,,210.4,19.2,40.8,1027.2,
2020-03-18,11.6,9.4,15,0,,220.9,19.2,37,1024.7,
2020-03-19,7.2,6,8.1,0.8,,42.9,13.5,27.8,1026.2,
2020-03-20,7.2,6,10.1,0.8,,46.7,19.7,40.8,1028.5,
2020-03-21,6.4,3.8,10.3,0,,65.4,21,55.5,1026.4,
2020-03-22,6.8,3.3,10.9,0,,52.3,14.4,40.8,1026.5,
2020-03-23,6.6,2.5,13.7,0,,89.5,14.1,33.3,1026.6,
2020-03-24,8.1,0.4,15.1,0,,133.2,10.5,31.5,1025.7,
2020-03-25,7.1,0.3,13.8,0,,59.5,7.4,27.8,1024.5,
2020-03-26,6.7,1.1,13.8,0,,36.8,11.8,31.5,1023.3,
2020-03-27,7.3,1.4,13.9,0,,28,14.5,35.2,1023.9,
2020-03-28,7.1,4.5,11.8,0,,24.2,17.6,48.2,1029,
2020-03-29,4.9,2,8.1,0,,,,,1037.5,
2020-03-30,5.7,2,10.2,0,,11.8,13,33.3,1034.9,
2020-03-31,5.9,2.6,10.1,0,,47.4,13.6,31.5,1031.5,
2020-04-01,5.2,-0.9,9.2,0,,317.3,6.2,18.5,1024.4,
2020-04-02,9,5.4,13.3,0,,273.2,15.3,33.3,1016.3,
2020-04-03,9.6,7.2,13.8,0,,268.7,8.5,22.2,1017.6,
2020-04-04,9.4,3.3,16.1,0,,164.3,10.8,35.2,1020.1,
2020-04-05,14,6.6,21.2,0,,133.3,19.4,44.5,1014,
2020-04-06,12.9,10.5,17.3,0.5,,235.8,14.2,33.3,1016.7,
2020-04-07,12.4,4.5,19.3,0.3,,72.3,7.6,25.9,1028.4,
2020-04-08,14.7,9.8,21.9,0,,63.3,8.4,20.4,1024.7,
2020-04-09,15,8.5,22.8,0,,63.5,11.7,33.3,1024.6,
2020-04-10,15,8.8,24.2,0,,74.6,11.5,29.6,1024.6,
2020-04-11,16.4,9,24.7,0,,31.6,8.1,22.2,1022.1,
2020-04-12,16.8,9.5,24,0,,192.6,8.2,27.8,1014.7,
2020-04-13,9,5.3,12.3,0,,42.2,21.5,46.3,1024.8,
2020-04-14,7.9,3.3,13.1,0,,69.7,10.9,25.9,1028.6,
2020-04-15,10.3,2.5,18.6,0,,85.4,8.1,25.9,1022.7,
2020-04-16,12.3,4.6,19.4,0,,63.1,9,24.1,1016.2,
2020-04-17,10.7,8.5,14.5,0,,67.3,16.8,40.8,1016.7,
2020-04-18,9.9,6.4,15.7,16,,46.2,9.2,27.8,1017.7,
2020-04-19,11.7,6.2,18.1,1,,38.5,12.5,35.2,1020.1,
2020-04-20,12,5.6,18.5,0,,50.1,19.3,48.2,1017.5,
2020-04-21,13.3,8.2,18.8,0,,51.1,17.3,42.6,1016.6,
2020-04-22,14.1,7.1,21.1,0,,44.8,13.1,35.2,1019.3,
2020-04-23,14.8,6.6,23.4,0,,42.6,8.1,24.1,1019.4,
2020-04-24,14.2,7.8,21.4,0,,41.9,7.8,22.2,1016,
2020-04-25,10.9,6.8,16.4,0,,87,11.9,24.1,1015.2,
2020-04-26,12.8,4.4,20.5,0,,180.9,6.9,24.1,1012.2,
2020-04-27,12.8,7,18.6,0,,255.4,8,24.1,1007.6,
2020-04-28,8.4,7.4,11,3.3,,57.8,13.8,29.6,1004.7,
2020-04-29,10.3,7.2,14.1,11.4,,194.5,13.6,35.2,1001.8,
2020-04-30,9.3,6.5,12.6,1.8,,200.3,19,50,995.1,
2020-05-01,10.6,7.4,14.4,4.3,,251.2,19,44.5,999.2,
2020-05-02,11.8,5.7,16.7,0.3,,274,13.3,29.6,1010.3,
2020-05-03,11.9,8.6,15.1,0,,152.9,7.8,16.7,1015.8,
2020-05-04,12.7,9.3,17.2,0.3,,71.1,12.3,35.2,1019.2,
2020-05-05,10.9,7.9,14.8,0,,71.5,20.4,42.6,1021.1,
2020-05-06,11.6,5,17.7,0,,65.8,12,29.6,1025.2,
2020-05-07,14.9,5.9,22.4,0,,143.9,9.5,27.8,1022.8,
2020-05-08,17.6,10,23.7,0,,222.4,5,20.4,1017.9,
2020-05-09,17.8,10.5,24.5,0,,81.1,11.1,29.6,1012.6,
2020-05-10,12.3,7.2,18,0,,24.1,18.7,48.2,1010.6,
2020-05-11,8.3,4.7,12.1,0,,29.6,23.5,55.5,1019.6,
2020-05-12,9.4,2.5,15.3,0,,331,6.3,18.5,1021,
2020-05-13,9.3,6.3,12.3,0,,13.4,14.6,38.9,1017.5,
2020-05-14,8.7,3,14.1,0,,33.4,12.7,29.6,1022.7,
2020-05-15,11.6,3.5,18.3,0,,305.6,6.1,22.2,1024,
2020-05-16,13.1,7.6,18.2,0,,289.2,7.9,24.1,1024.4,
2020-05-17,14.3,7.7,20.2,0,,268.2,12.5,29.6,1023.9,
2020-05-18,16.7,10.2,23.9,0,,261.1,16.8,38.9,1023.6,
2020-05-19,18.4,11.6,26,0,,263.4,13,27.8,1023.2,
2020-05-20,20.1,13.4,27.2,0,,217.6,10.2,33.3,1021.3,
2020-05-21,20.1,13.3,27.3,0,,238.6,8.9,27.8,1018.9,
2020-05-22,18.4,14.3,23.2,0,,224.3,24.6,51.8,1015.1,
2020-05-23,14.6,11.3,19.9,0,,246.3,31.7,61.1,1022.2,
2020-05-24,16.6,10.6,21.2,1.5,,275.9,17.8,38.9,1030.1,
2020-05-25,18.3,10.6,25.8,0,,279.5,7.9,25.9,1034.3,
2020-05-26,19.6,12,25.9,0,,299.2,6.4,22.2,1035.3,
