,Date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum,covidOccupiedMVBeds,hospitalCases,newAdmissions,cumAdmissions,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
0,2021-10-24,644.0,1158300.0,2362.0,6015925.0,2102.0,5439491.0,,,157.0,1003.0,,,2.0,16653.0
1,2021-10-23,2445.0,1157656.0,4484.0,6013563.0,5536.0,5437389.0,,,154.0,993.0,93.0,85597.0,1.0,16651.0
2,2021-10-22,3297.0,1155211.0,6324.0,6009079.0,4213.0,5431853.0,,,153.0,969.0,109.0,85504.0,4.0,16650.0
3,2021-10-21,3787.0,1151914.0,5310.0,6002755.0,3693.0,5427640.0,,,157.0,979.0,71.0,85395.0,7.0,16646.0
4,2021-10-20,4220.0,1148127.0,7519.0,5997445.0,4067.0,5423947.0,,,154.0,959.0,101.0,85324.0,4.0,16639.0
5,2021-10-19,4304.0,1143907.0,6342.0,5989926.0,4061.0,5419880.0,6.0,423819.0,160.0,965.0,105.0,85223.0,9.0,16635.0
6,2021-10-18,4460.0,1139603.0,6369.0,5983584.0,4023.0,5415819.0,5.8,424862.0,154.0,918.0,94.0,85118.0,9.0,16626.0
7,2021-10-17,3291.0,1135143.0,1391.0,5977215.0,2225.0,5411796.0,5.6,427005.0,155.0,896.0,106.0,85024.0,11.0,16617.0
8,2021-10-16,2739.0,1131852.0,3758.0,5975824.0,6413.0,5409571.0,5.5,424718.0,155.0,882.0,100.0,84918.0,6.0,16606.0
9,2021-10-15,3228.0,1129113.0,6977.0,5972066.0,4769.0,5403158.0,5.5,422251.0,149.0,879.0,99.0,84818.0,5.0,16600.0
10,2021-10-14,3384.0,1125885.0,6945.0,5965089.0,4209.0,5398389.0,5.4,422230.0,137.0,864.0,105.0,84719.0,11.0,16595.0
11,2021-10-13,3509.0,1122501.0,7891.0,5958144.0,4341.0,5394180.0,5.3,421095.0,143.0,849.0,97.0,84614.0,6.0,16584.0
12,2021-10-12,3352.0,1118992.0,5211.0,5950253.0,3801.0,5389839.0,5.1,419022.0,146.0,853.0,93.0,84517.0,4.0,16578.0
13,2021-10-11,3830.0,1115640.0,4702.0,5945042.0,4001.0,5386038.0,5.0,419985.0,139.0,894.0,75.0,84424.0,9.0,16574.0
14,2021-10-10,2730.0,1111810.0,1406.0,5940340.0,2425.0,5382037.0,4.9,418802.0,146.0,878.0,58.0,84349.0,8.0,16565.0
15,2021-10-09,2433.0,1109080.0,3458.0,5938934.0,5781.0,5379612.0,4.9,418727.0,143.0,867.0,67.0,84291.0,11.0,16557.0
16,2021-10-08,2654.0,1106647.0,4828.0,5935476.0,4731.0,5373831.0,4.8,419406.0,144.0,885.0,78.0,84224.0,9.0,16546.0
17,2021-10-07,2904.0,1103993.0,4206.0,5930648.0,3933.0,5369100.0,4.7,418660.0,161.0,884.0,84.0,84146.0,6.0,16537.0
18,2021-10-06,2813.0,1101089.0,4231.0,5926442.0,4175.0,5365167.0,4.6,418265.0,171.0,904.0,76.0,84062.0,10.0,16531.0
19,2021-10-05,3046.0,1098276.0,4637.0,5922211.0,4461.0,5360992.0,4.6,419468.0,175.0,925.0,74.0,83986.0,11.0,16521.0
20,2021-10-04,3301.0,1095230.0,4472.0,5917574.0,4683.0,5356531.0,4.4,425662.0,173.0,934.0,87.0,83912.0,9.0,16510.0
21,2021-10-03,2526.0,1091929.0,1684.0,5913102.0,2776.0,5351848.0,4.4,435041.0,176.0,906.0,57.0,83825.0,6.0,16501.0
22,2021-10-02,2138.0,1089403.0,3722.0,5911418.0,6698.0,5349072.0,4.3,440337.0,176.0,894.0,82.0,83768.0,12.0,16495.0
23,2021-10-01,2191.0,1087265.0,4303.0,5907696.0,5319.0,5342374.0,4.3,442284.0,179.0,927.0,70.0,83686.0,16.0,16483.0
24,2021-09-30,2592.0,1085074.0,3831.0,5903393.0,5216.0,5337055.0,4.3,445015.0,181.0,948.0,66.0,83616.0,13.0,16467.0
25,2021-09-29,2778.0,1082482.0,3971.0,5899562.0,5360.0,5331839.0,4.3,448011.0,175.0,983.0,81.0,83550.0,13.0,16454.0
