Date,BoroughID,grocery_pharmacy,parks,residential,retail_recreation,transit,workplaces
2020-03-09,1,-5,-8,0,-10,-8,-6
2020-03-09,2,1,-14,3,-8,-7,-2
2020-03-09,3,9,23,1,2,-1,-1
2020-03-09,4,12,5,1,-4,-2,-1
2020-03-09,5,4,14,1,0,4,-1
2020-03-09,6,12,11,1,-3,-3,-1
2020-03-09,7,8,-2,2,-3,-3,0
2020-03-09,8,-2,6,2,-7,-9,-3
2020-03-09,9,9,6,1,-3,-3,0
2020-03-09,10,12,3,1,-3,0,0
2020-03-09,11,9,14,0,2,-6,1
2020-03-09,12,5,14,2,1,-5,-2
2020-03-09,13,-4,2,3,-5,-1,-1
2020-03-09,14,6,-1,1,0,-8,-2
2020-03-09,15,7,3,1,-2,-7,-1
2020-03-09,16,8,17,1,-4,-1,0
2020-03-09,17,13,3,1,-4,-17,-1
2020-03-09,18,1,-4,1,3,-3,0
2020-03-09,19,4,-8,2,-10,-5,-3
2020-03-09,20,3,-11,1,-6,-6,-2
2020-03-09,21,5,3,1,3,-3,-1
2020-03-09,22,9,10,1,-11,-8,-1
2020-03-09,23,9,6,1,-4,-6,-3
2020-03-09,24,12,9,1,7,-5,-1
2020-03-09,25,6,9,1,-4,-2,0
2020-03-09,26,6,0,1,-5,-8,-1
2020-03-09,27,10,18,1,-1,-11,2
2020-03-09,28,1,1,2,-12,-14,-2
2020-03-09,29,6,-7,1,5,0,-1
2020-03-09,30,7,2,2,-3,-6,-1
2020-03-09,31,8,7,1,5,0,-1
2020-03-09,32,8,2,2,-6,-6,0
2020-03-09,33,4,1,2,-8,-9,1
2020-03-10,1,-5,-17,0,-14,-10,-2
2020-03-10,2,1,-19,4,-12,-10,-3
2020-03-10,3,10,14,1,2,-1,-1
2020-03-10,4,8,19,2,-5,2,-5
2020-03-10,5,6,0,1,-2,-8,-1
2020-03-10,6,16,3,1,-4,1,-1
2020-03-10,7,10,1,2,-4,-5,0
2020-03-10,8,-1,-4,2,-9,-12,-5
2020-03-10,9,10,4,1,-3,-6,0
2020-03-10,10,14,4,2,-1,-1,0
2020-03-10,11,11,6,1,0,-3,0
2020-03-10,12,11,11,2,-3,-2,-5
2020-03-10,13,-1,-8,3,-8,-3,-2
2020-03-10,14,8,14,2,0,-1,-4
2020-03-10,15,9,5,2,-3,-1,-2
2020-03-10,16,8,-2,1,-6,-4,0
2020-03-10,17,15,-7,1,-5,-17,0
2020-03-10,18,2,6,2,-1,-7,-1
2020-03-10,19,6,-1,2,-9,-5,-4
2020-03-10,20,5,-7,2,-9,-7,-3
2020-03-10,21,6,8,1,-1,-3,-2
2020-03-10,22,10,6,2,-11,-5,-2
2020-03-10,23,12,6,2,-3,-4,-4
2020-03-10,24,14,5,2,8,-6,-3
2020-03-10,25,7,7,2,-6,-8,1
2020-03-10,26,6,-5,2,-5,-8,-3
2020-03-10,27,11,16,2,-3,-6,1
2020-03-10,28,5,-8,3,-13,-11,-4
2020-03-10,29,7,-9,1,1,-5,-3
2020-03-10,30,8,6,3,0,-6,-3
2020-03-10,31,8,-3,2,-2,-5,-2
2020-03-10,32,11,3,3,-9,-10,-2
2020-03-10,33,3,2,2,-11,-7,0
2020-03-11,1,-8,-10,0,-17,-15,-5
2020-03-11,2,0,-17,4,-13,-16,-5
2020-03-11,3,14,23,1,1,-1,-1
2020-03-11,4,10,18,3,-4,-6,-3
2020-03-11,5,7,16,2,2,-5,0
2020-03-11,6,15,18,2,-2,-5,-2
2020-03-11,7,10,14,2,-1,-7,-2
2020-03-11,8,-3,14,4,-13,-17,-7
2020-03-11,9,11,16,2,-1,-5,0
2020-03-11,10,15,15,2,1,-7,-1
2020-03-11,11,14,22,1,1,-9,1
2020-03-11,12,11,24,3,-1,-11,-4
2020-03-11,13,-1,14,3,-6,-7,-4
2020-03-11,14,8,11,2,-2,-13,-4
2020-03-11,15,11,27,2,0,-3,-2
2020-03-11,16,11,12,1,-2,-6,-1
2020-03-11,17,13,32,2,-1,-20,-1
2020-03-11,18,4,10,2,1,-8,-1
2020-03-11,19,8,7,4,-12,-14,-7
2020-03-11,20,5,2,2,-4,-13,-5
2020-03-11,21,9,23,2,3,-5,-2
2020-03-11,22,10,15,2,-7,-10,-2
2020-03-11,23,16,24,2,-8,-9,-4
2020-03-11,24,15,20,2,8,-6,-2
2020-03-11,25,8,21,3,1,-10,-1
2020-03-11,26,5,4,2,-3,-9,-4
2020-03-11,27,9,21,2,-3,-11,1
2020-03-11,28,7,-4,3,-14,-13,-6
2020-03-11,29,10,8,1,8,-7,-3
2020-03-11,30,11,17,3,4,-8,-4
2020-03-11,31,13,11,2,5,-2,-3
2020-03-11,32,12,17,4,-9,-12,-4
2020-03-11,33,4,12,3,-7,-14,-1
2020-03-12,1,-11,-23,0,-22,-20,-15
2020-03-12,2,-1,-29,6,-20,-21,-10
2020-03-12,3,24,8,1,5,-4,-2
2020-03-12,4,19,3,3,-5,-10,-5
2020-03-12,5,15,-3,2,-2,-9,-3
2020-03-12,6,23,8,2,3,-6,-4
2020-03-12,7,20,6,3,-4,-10,-4
2020-03-12,8,2,-8,6,-15,-21,-13
2020-03-12,9,19,16,3,-4,-9,-2
2020-03-12,10,21,1,3,-1,-10,-4
2020-03-12,11,20,8,2,-1,-11,-1
2020-03-12,12,17,9,4,-7,-14,-7
2020-03-12,13,2,1,5,-8,-13,-8
2020-03-12,14,15,4,3,-1,-13,-6
2020-03-12,15,17,6,3,-5,-11,-4
2020-03-12,16,19,-3,2,-6,-8,-4
2020-03-12,17,23,-3,2,-3,-17,-3
2020-03-12,18,18,0,3,-2,-9,-3
2020-03-12,19,14,-6,5,-17,-17,-13
2020-03-12,20,14,-11,4,-8,-17,-8
2020-03-12,21,19,17,3,1,-8,-6
2020-03-12,22,17,1,3,-8,-13,-5
2020-03-12,23,21,4,2,-8,-14,-5
2020-03-12,24,21,4,3,9,-14,-4
2020-03-12,25,17,18,4,-1,-11,-4
2020-03-12,26,11,-7,4,-6,-15,-8
2020-03-12,27,17,16,3,-3,-15,-2
2020-03-12,28,9,-9,5,-17,-21,-10
2020-03-12,29,20,-10,2,7,-8,-4
2020-03-12,30,16,6,5,-2,-11,-8
2020-03-12,31,17,3,3,0,-10,-6
2020-03-12,32,21,3,5,-14,-17,-9
2020-03-12,33,9,10,4,-11,-14,-4
2020-03-13,1,-15,-30,0,-29,-27,-23
2020-03-13,2,-3,-34,8,-30,-26,-16
2020-03-13,3,23,11,2,0,-6,-2
2020-03-13,4,18,19,5,-8,-13,-8
2020-03-13,5,17,18,3,-4,-12,-4
2020-03-13,6,26,17,4,-2,-10,-6
2020-03-13,7,20,14,5,-7,-13,-8
2020-03-13,8,-2,-2,9,-24,-26,-19
2020-03-13,9,18,20,4,-9,-12,-6
2020-03-13,10,22,16,4,-4,-13,-6
2020-03-13,11,20,5,3,-3,-10,-3
2020-03-13,12,23,17,6,-8,-16,-13
2020-03-13,13,6,3,7,-19,-18,-14
2020-03-13,14,18,16,5,-2,-15,-10
2020-03-13,15,18,16,5,-10,-15,-7
2020-03-13,16,16,12,3,-10,-9,-6
2020-03-13,17,22,3,4,-8,-22,-5
2020-03-13,18,19,3,4,-4,-11,-4
2020-03-13,19,15,3,9,-23,-23,-20
2020-03-13,20,15,-9,6,-14,-21,-13
2020-03-13,21,20,17,5,-2,-10,-10
2020-03-13,22,15,11,5,-11,-15,-8
2020-03-13,23,24,25,4,-11,-15,-9
2020-03-13,24,24,13,4,6,-13,-8
2020-03-13,25,15,20,5,-6,-15,-11
2020-03-13,26,12,-7,6,-10,-21,-13
2020-03-13,27,17,26,4,-7,-13,-5
2020-03-13,28,13,-15,8,-21,-25,-17
2020-03-13,29,18,-1,4,4,-8,-8
2020-03-13,30,21,22,7,-6,-11,-15
2020-03-13,31,21,-1,4,-10,-9,-9
2020-03-13,32,18,2,7,-21,-20,-14
2020-03-13,33,8,22,6,-13,-17,-9
2020-03-14,1,-15,-27,0,-26,-28,-30.5
2020-03-14,2,-15,-37,6,-36,-31,-5
2020-03-14,3,21,0,3,-3,0,-3
2020-03-14,4,17,-5,5,-16,-13,-6
2020-03-14,5,13,-2,2,-7,-8,2
2020-03-14,6,19,9,4,-15,-9,-4
2020-03-14,7,16,2,3,-12,-16,-1
2020-03-14,8,-13,-14,6,-30,-34,-11
2020-03-14,9,14,8,3,-17,-16,-2
2020-03-14,10,19,8,4,-13,-15,-3
2020-03-14,11,17,3,4,-8,-14,-1
2020-03-14,12,17,7,4,-16,-22,-2
2020-03-14,13,-2,5,6,-35,-30,-7
2020-03-14,14,12,-9,4,-15,-17,-7
2020-03-14,15,15,8,4,-16,-8,-4
2020-03-14,16,14,-1,3,-14,-16,0
2020-03-14,17,16,2,3,-12,-22,-2
2020-03-14,18,17,-12,4,-13,-13,-3
2020-03-14,19,18,-7,5,-26,-10,-6
2020-03-14,20,12,-24,4,-17,-14,-4
2020-03-14,21,15,2,4,-8,-13,-3
2020-03-14,22,13,8,4,-17,-23,-1
2020-03-14,23,18,-4,3,-31,-24,-7
2020-03-14,24,21,-11,4,-2,-11,-3
2020-03-14,25,13,8,4,-10,-18,2
2020-03-14,26,3,-17,4,-17,-27,-5
2020-03-14,27,12,8,3,-12,-18,0
2020-03-14,28,7,-23,5,-21,-26,-7
2020-03-14,29,14,-8,3,-5,-12,-4
2020-03-14,30,15,4,4,-12,-14,-6
2020-03-14,31,14,-22,3,-18,-18,0
2020-03-14,32,9,-11,6,-33,-34,-6
2020-03-14,33,8,-11,4,-16,-18,0
2020-03-15,1,-24,-35,0,-32,-38,-30.5
2020-03-15,2,-16,-54,6,-43,-37,-11
2020-03-15,3,12,-13,3,-7,-5,-7
2020-03-15,4,13,-20,4,-22,-18,-9
2020-03-15,5,9,-5,2,-11,-13,-4
2020-03-15,6,14,-15,4,-24,-19,-7
2020-03-15,7,15,-6,3,-16,-18,-6
2020-03-15,8,-16,-14,5,-35,-34,-16
2020-03-15,9,9,-4,3,-22,-17,-5
2020-03-15,10,14,-20,4,-20,-22,-9
2020-03-15,11,13,-13,4,-17,-18,-4
2020-03-15,12,7,-9,4,-23,-26,-5
2020-03-15,13,-4,-13,5,-36,-33,-10
2020-03-15,14,6,-19,4,-21,-19,-11
2020-03-15,15,9,-24,4,-25,-18,-5
2020-03-15,16,14,12,2,-24,-22,-5
2020-03-15,17,8,-15,3,-18,-23,-6
2020-03-15,18,8,-21,4,-17,-16,-6
2020-03-15,19,10,-11,5,-30,-16,-12
2020-03-15,20,4,-28,4,-23,-19,-8
2020-03-15,21,8,-2,3,-13,-18,-8
2020-03-15,22,7,-1,3,-23,-26,-6
2020-03-15,23,13,-8,3,-25,-22,-8
2020-03-15,24,18,-11,3,-10,-16,-5
2020-03-15,25,11,-6,4,-18,-27,-5
2020-03-15,26,5,-23,4,-22,-30,-10
2020-03-15,27,10,-10,3,-18,-20,-3
2020-03-15,28,-4,-26,5,-26,-29,-11
2020-03-15,29,8,-12,3,-8,-15,-6
2020-03-15,30,3,0,4,-15,-23,-8
2020-03-15,31,8,-22,3,-22,-20,-6
2020-03-15,32,8,-19,8,-37,-38,-11
2020-03-15,33,6,-10,3,-18,-20,-11
2020-03-16,1,-20,-42,0,-40,-40,-38
2020-03-16,2,0,-18,12,-39,-37,-29
2020-03-16,3,28,59,3,2,-9,-9
2020-03-16,4,32,57,8,-9,-21,-17
2020-03-16,5,26,28,5,-2,-17,-11
2020-03-16,6,31,66,6,-8,-18,-13
2020-03-16,7,31,29,7,-6,-21,-16
2020-03-16,8,-2,31,12,-32,-39,-34
2020-03-16,9,26,48,5,-7,-17,-12
2020-03-16,10,30,47,6,-5,-18,-14
2020-03-16,11,27,51,5,1,-17,-10
2020-03-16,12,26,63,9,-12,-26,-22
2020-03-16,13,7,32,11,-20,-26,-26
2020-03-16,14,24,46,7,-2,-21,-19
2020-03-16,15,30,56,6,-6,-20,-13
2020-03-16,16,26,23,5,-8,-16,-12
2020-03-16,17,29,39,5,-5,-24,-12
2020-03-16,18,25,32,6,0,-18,-14
2020-03-16,19,13,18,12,-29,-33,-33
2020-03-16,20,22,10,8,-16,-31,-22
2020-03-16,21,26,50,7,1,-19,-18
2020-03-16,22,31,53,7,-13,-21,-17
2020-03-16,23,31,67,6,-12,-21,-17
2020-03-16,24,35,47,6,8,-22,-16
2020-03-16,25,31,61,8,-3,-25,-20
2020-03-16,26,19,12,8,-13,-29,-23
2020-03-16,27,27,62,5,-7,-23,-11
2020-03-16,28,16,1,10,-28,-33,-28
2020-03-16,29,23,33,5,7,-15,-15
2020-03-16,30,29,31,10,-4,-21,-25
2020-03-16,31,28,22,7,-4,-16,-17
2020-03-16,32,22,19,10,-29,-33,-28
2020-03-16,33,26,6,8,-11,-25,-16
2020-03-17,1,-40,-60,0,-62,-56,-54
2020-03-17,2,-15,-47,17,-59,-52,-42
2020-03-17,3,27,18,6,-3,-20,-14
2020-03-17,4,30,22,12,-16,-29,-27
2020-03-17,5,29,11,9,-10,-28,-20
2020-03-17,6,29,17,9,-16,-26,-21
2020-03-17,7,36,8,12,-16,-32,-28
2020-03-17,8,-12,-20,18,-50,-54,-47
2020-03-17,9,29,23,10,-17,-32,-21
2020-03-17,10,29,3,11,-12,-29,-23
2020-03-17,11,26,13,9,-9,-27,-17
2020-03-17,12,26,20,14,-26,-37,-35
2020-03-17,13,6,-2,16,-36,-38,-39
2020-03-17,14,24,14,12,-13,-30,-30
2020-03-17,15,28,11,10,-16,-28,-22
2020-03-17,16,29,1,8,-17,-27,-18
2020-03-17,17,31,-2,9,-13,-27,-19
2020-03-17,18,26,6,9,-10,-29,-21
2020-03-17,19,11,-5,19,-42,-49,-47
2020-03-17,20,22,-14,15,-31,-47,-36
2020-03-17,21,30,36,13,-8,-28,-31
2020-03-17,22,33,29,13,-18,-33,-27
2020-03-17,23,27,10,10,-21,-27,-27
2020-03-17,24,36,14,10,1,-28,-24
2020-03-17,25,31,21,15,-20,-40,-34
2020-03-17,26,12,-23,15,-28,-42,-37
2020-03-17,27,32,17,10,-14,-34,-20
2020-03-17,28,9,-25,17,-43,-44,-43
2020-03-17,29,24,8,10,-3,-20,-26
2020-03-17,30,33,13,17,-11,-33,-41
2020-03-17,31,29,2,11,-14,-29,-28
2020-03-17,32,15,-7,15,-40,-43,-39
2020-03-17,33,28,22,12,-24,-39,-28
2020-03-18,1,-46,-65,0,-73,-66,-62
2020-03-18,2,-19,-56,20,-67,-60,-50
2020-03-18,3,42,3,8,-4,-24,-20
2020-03-18,4,42,22,16,-16,-34,-35
2020-03-18,5,41,19,12,-13,-32,-28
2020-03-18,6,45,25,12,-18,-28,-27
2020-03-18,7,45,17,16,-18,-39,-37
2020-03-18,8,-14,-16,21,-59,-62,-55
2020-03-18,9,43,25,13,-17,-35,-29
2020-03-18,10,40,6,13,-14,-34,-30
2020-03-18,11,41,15,12,-11,-32,-24
2020-03-18,12,37,28,18,-30,-42,-42
2020-03-18,13,11,8,20,-39,-43,-47
2020-03-18,14,34,4,16,-17,-37,-38
2020-03-18,15,45,14,13,-21,-34,-30
2020-03-18,16,42,7,11,-18,-33,-26
2020-03-18,17,46,11,12,-13,-36,-26
2020-03-18,18,35,13,12,-8,-31,-29
2020-03-18,19,12,-2,24,-49,-56,-54
2020-03-18,20,31,-11,18,-35,-52,-44
2020-03-18,21,47,42,16,-4,-31,-39
2020-03-18,22,43,19,15,-21,-38,-36
